route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_259,1_954_151_10_259_2,1_13303_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13304_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13305_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13306_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13307_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13308_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13309_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13310_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13311_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13312_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13313_954,,0,1_259_I
1_260,1_954_151_10_260_2,1_13314_954,,1,1_260_V
1_259,1_955_152_10_259_3,1_13325_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13326_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13327_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13328_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13329_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13330_955,,0,1_259_I
1_263,1_971_160_10_263_2,1_14197_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14198_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14200_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14202_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14204_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14206_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14208_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14210_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14212_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14215_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14217_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14218_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14220_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14222_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14223_971,,0,1_263_I
1_263,1_972_191_10_263_3,1_14225_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14226_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14227_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14228_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14229_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14230_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14231_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14232_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14233_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14234_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14235_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14236_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14237_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14238_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14239_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14242_972,,0,1_263_I
1_466,1_495_195_9_466_1,1_14422_495,,0,1_466_I
1_466,1_495_195_9_466_1,1_14423_495,,0,1_466_I
1_466,1_495_195_9_466_1,1_14424_495,,0,1_466_I
1_466,1_495_195_9_466_1,1_14425_495,,0,1_466_I
1_466,1_495_195_9_466_1,1_14426_495,,1,1_466_V
1_466,1_495_195_9_466_1,1_14427_495,,1,1_466_V
1_466,1_495_195_9_466_1,1_14428_495,,1,1_466_V
1_466,1_495_195_9_466_1,1_14429_495,,1,1_466_V
1_204,1_496_196_9_204_2,1_14430_496,,0,1_204_I
1_204,1_496_196_9_204_2,1_14431_496,,0,1_204_I
1_204,1_496_196_9_204_2,1_14432_496,,1,1_204_V
1_204,1_496_196_9_204_2,1_14433_496,,1,1_204_V
1_208,1_930_197_9_208_1,1_14434_930,,1,1_208_V
1_208,1_930_197_9_208_1,1_14435_930,,1,1_208_V
1_208,1_930_197_9_208_1,1_14436_930,,1,1_208_V
1_208,1_930_197_9_208_1,1_14438_930,,0,1_208_I
1_208,1_930_197_9_208_1,1_14439_930,,0,1_208_I
1_208,1_930_197_9_208_1,1_14440_930,,0,1_208_I
1_210,1_931_200_9_210_2,1_14506_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14507_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14508_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14509_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14510_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14511_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14512_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14513_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14514_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14515_931,,1,1_210_V
1_210,1_931_200_9_210_2,1_14517_931,,0,1_210_I
1_210,1_931_200_9_210_2,1_14518_931,,0,1_210_I
1_210,1_931_200_9_210_2,1_14519_931,,0,1_210_I
1_210,1_931_200_9_210_2,1_14520_931,,0,1_210_I
1_210,1_931_200_9_210_2,1_14521_931,,0,1_210_I
